,name,satisfaction_level,last_evaluation,number_projects,average_monthly_hours,time_spent_company,work_accident,left,promotion_last_5_years,department,salary,salary_level
3803,DELL,0.69,0.93,3,233,3,0,0,0,IT,medium,2
3808,BOSS,0.85,0.92,4,151,3,1,0,0,IT,medium,2
3810,PEEBLES,0.19,0.8,6,143,4,0,0,0,RandD,medium,2
3813,ARSENAULT,0.83,0.8,4,274,3,0,0,0,RandD,high,3
3815,CALABRESE,0.74,0.98,5,200,3,0,0,0,sales,medium,2
3821,VUE,0.87,0.74,4,265,4,0,0,0,marketing,medium,2
3822,LEHMANN,0.29,0.75,3,124,4,0,0,0,marketing,medium,2
3823,ZINK,0.37,0.88,4,155,3,0,0,0,sales,medium,2
3829,FOLTZ,0.83,0.86,3,165,3,0,0,0,sales,low,1
3830,FLECK,0.83,0.73,5,136,3,0,0,0,sales,low,1
3832,AMARAL,0.69,0.9,5,226,4,0,0,0,sales,high,3
3839,PROVOST,0.78,0.87,3,190,3,0,0,0,sales,low,1
3845,GRICE,0.64,0.9,4,211,3,0,0,0,hr,medium,2
3846,TULLY,0.79,0.71,4,271,3,0,0,0,hr,medium,2
3850,BARTELS,0.76,0.81,3,225,3,0,0,0,technical,medium,2
3851,CANADY,0.26,0.9,4,266,5,0,0,0,technical,medium,2
3852,MOREAU,0.84,0.73,3,146,5,1,0,0,technical,high,3
3853,BURNSIDE,0.74,0.77,3,233,3,0,0,0,technical,low,1
3860,MARQUIS,0.88,0.89,2,160,4,0,0,0,support,low,1
3861,LANNING,0.79,0.83,2,192,3,0,0,0,support,low,1
3864,COPPOLA,0.68,0.8,4,186,3,1,0,0,support,low,1
3865,RAYBURN,0.6,0.82,4,272,3,0,0,0,support,low,1
3866,CONTE,0.7,0.9,4,216,3,0,0,0,support,low,1
3870,BANDY,0.2,0.93,4,101,5,0,0,0,support,low,1
3875,HAMBLIN,0.54,0.84,3,132,3,0,0,0,IT,low,1
3878,MERRELL,0.23,0.84,5,140,4,0,0,0,IT,low,1
3879,SEE,0.88,0.87,5,257,3,0,0,0,IT,medium,2
3892,SHUMAKER,0.85,0.82,3,153,3,1,0,0,sales,low,1
3893,FORTIN,0.67,0.95,4,241,4,0,0,0,accounting,medium,2
3894,EMBRY,0.58,1.0,4,258,3,0,0,0,support,medium,2
3895,OLIVAREZ,0.84,0.76,5,172,5,1,0,0,technical,medium,2
3897,SEIDEL,0.63,0.83,4,217,3,0,0,0,marketing,low,1
3898,COONS,0.51,0.92,3,243,3,0,0,0,marketing,low,1
3899,EARLE,0.95,0.81,5,120,3,0,0,0,marketing,low,1
3901,MATHENY,0.73,0.78,5,150,3,0,0,0,sales,low,1
3904,SPALDING,0.83,0.8,3,273,3,0,0,0,sales,low,1
3906,BARNETTE,0.98,0.99,5,141,3,0,0,0,sales,low,1
3907,MARTEL,1.0,0.81,5,243,3,0,0,0,sales,low,1
3909,MERRICK,0.62,0.88,5,146,3,0,0,0,sales,low,1
3911,FULLERTON,0.86,0.96,4,196,3,0,0,0,sales,low,1
3913,DOUCETTE,0.19,0.86,4,192,4,0,0,0,sales,low,1
3915,CLOUSE,0.89,0.93,5,191,4,0,0,0,sales,low,1
3916,HAWKS,0.25,0.97,3,158,3,0,0,0,sales,low,1
3919,ZOOK,0.64,0.95,4,199,4,0,0,0,accounting,medium,2
3928,WELKER,0.7,0.91,5,139,3,1,0,0,technical,medium,2
3933,BRITTAIN,0.59,0.73,3,159,3,1,0,0,technical,medium,2
3939,HOFER,0.64,0.8,3,199,3,0,0,0,support,low,1
3940,HUTTO,0.58,0.71,3,205,3,0,0,0,support,low,1
3942,CAVE,0.89,0.9,4,153,3,0,0,0,support,low,1
3944,BOWENS,0.78,0.91,5,150,4,0,0,0,support,low,1
3949,ANDRE,0.69,0.96,5,164,3,0,0,0,technical,low,1
3953,WHITCOMB,0.76,0.75,4,193,4,0,0,0,IT,low,1
3954,HEINRICH,0.7,0.84,2,114,4,0,0,0,IT,low,1
3957,PETRIE,0.54,0.91,3,151,3,0,0,0,product_mng,medium,2
3958,HAIR,0.55,0.75,3,156,3,0,0,0,product_mng,medium,2
3959,KETCHUM,0.81,0.75,5,170,3,1,0,0,product_mng,medium,2
3961,HEIL,0.93,0.74,4,201,3,1,0,0,IT,medium,2
3963,BIANCO,0.57,0.78,3,206,4,0,0,0,RandD,medium,2
3964,WEGNER,0.95,0.74,4,216,3,0,0,0,RandD,medium,2
3967,WINGATE,0.18,0.79,4,217,4,0,0,0,RandD,medium,2
3970,KEEL,0.94,0.83,5,148,3,0,0,0,accounting,low,1
3971,CASTEEL,0.2,0.97,6,224,5,1,0,0,support,medium,2
3972,BOOTHE,0.73,0.75,2,243,5,1,0,0,technical,medium,2
3973,DEROSA,0.94,0.8,4,238,3,1,0,0,management,medium,2
3978,NALL,0.78,0.95,4,184,3,0,0,0,sales,low,1
3979,ALTAMIRANO,0.15,0.74,2,176,3,1,0,0,sales,low,1
3980,SHUMATE,0.91,0.89,4,260,3,0,0,0,sales,low,1
3981,LIGHTFOOT,0.7,0.78,4,254,4,0,0,0,sales,low,1
3982,CREAMER,0.6,0.95,3,221,3,0,0,0,sales,low,1
3984,COFFIN,0.59,0.93,3,265,3,1,0,0,sales,low,1
3987,HUTCHESON,0.57,0.81,3,144,3,0,0,0,sales,low,1
3989,SORRELL,0.83,0.81,3,242,6,0,0,0,sales,low,1
3990,NICKEL,0.89,0.93,4,249,3,0,0,0,sales,low,1
3996,RIDENOUR,0.61,0.97,4,153,3,0,0,0,accounting,medium,2
3997,ATWELL,0.76,0.79,3,197,5,0,0,0,accounting,medium,2
3998,STURGILL,0.67,0.82,4,246,4,0,0,0,accounting,medium,2
3999,SCHOEN,0.51,0.95,4,258,3,0,0,0,hr,medium,2
4001,NEMETH,0.16,0.94,3,178,4,0,0,0,hr,medium,2
4002,ALMONTE,0.34,0.85,4,123,4,0,0,0,hr,medium,2
4003,PAN,0.58,0.73,5,162,3,1,0,0,technical,medium,2
4004,RICKARD,0.5,0.71,5,210,5,0,0,0,technical,medium,2
4006,SAMMONS,0.56,0.98,3,220,3,0,0,0,technical,low,1
4009,PARISI,0.15,0.81,4,160,5,0,0,0,technical,medium,2
4011,CARRION,0.8,0.79,3,217,3,0,0,0,technical,low,1
4014,COVERT,0.81,0.78,4,159,3,0,0,0,support,low,1
4017,BELTON,0.69,0.91,4,186,3,0,0,0,support,low,1
4026,CAMARENA,0.91,0.93,4,184,3,0,0,0,technical,low,1
4028,HERBST,0.78,0.72,3,255,4,1,0,0,management,low,1
4029,WILD,0.61,0.82,3,261,4,0,0,0,IT,low,1
4031,MANSON,0.58,0.73,4,205,4,0,0,0,IT,low,1
4034,CLEM,0.26,0.81,5,139,4,0,0,0,product_mng,medium,2
4036,BURKHARDT,0.78,0.8,4,175,3,0,0,0,product_mng,medium,2
4038,MCLENDON,0.79,0.73,5,155,3,0,0,0,IT,medium,2
4039,MCCAFFREY,0.89,0.73,4,171,4,0,0,0,RandD,medium,2
4040,MAZZA,0.34,0.99,4,184,3,0,0,0,RandD,medium,2
4041,SETTLE,0.29,0.77,3,164,6,0,0,0,RandD,medium,2
4042,LUM,0.71,0.89,3,244,4,0,0,0,RandD,medium,2
4044,DUPRE,0.94,0.76,4,231,3,1,0,0,RandD,high,3
4045,LOUIE,0.91,0.72,3,213,3,0,0,0,marketing,low,1
4046,GUNTHER,0.71,0.96,4,144,4,0,0,0,sales,medium,2
4047,WEIMER,0.67,0.81,3,221,4,1,0,0,accounting,medium,2
4050,BRADBURY,0.94,0.91,3,250,3,1,0,0,management,low,1
4051,URENA,0.15,0.89,3,219,6,0,0,0,marketing,low,1
4052,LOR,0.45,0.92,6,164,4,1,0,0,marketing,low,1
4060,SPROUSE,0.63,0.88,3,177,3,0,0,0,sales,low,1
4070,MARTINES,0.53,0.75,3,232,3,0,0,0,sales,low,1
4071,ALCARAZ,0.79,0.97,4,204,3,0,0,0,sales,medium,2
4076,PEAK,0.8,0.8,4,252,6,0,0,0,hr,medium,2
4077,MENDES,0.62,0.74,4,155,3,0,0,0,hr,medium,2
4079,FUQUA,0.64,0.75,3,214,3,0,0,0,hr,medium,2
4083,VOLPE,0.96,0.83,4,132,6,0,0,0,technical,high,3
4086,MCCULLOCH,0.16,0.84,3,238,6,0,0,0,technical,medium,2
4089,SHINN,0.53,0.83,4,249,3,1,0,0,technical,low,1
4094,RIVERO,0.3,0.8,6,250,3,0,0,0,support,low,1
4095,WEED,0.99,0.92,3,220,3,0,0,0,support,low,1
4100,MAHAFFEY,0.66,0.73,3,244,3,0,0,0,support,medium,2
4101,NILES,1.0,0.93,5,182,3,1,0,0,support,medium,2
4106,SNIPES,0.84,0.85,4,185,3,1,0,0,IT,medium,2
4110,NUTTER,0.68,0.87,3,168,3,0,0,0,IT,medium,2
4111,MENDIOLA,0.13,1.0,6,225,3,0,0,0,product_mng,medium,2
4114,KIRKWOOD,0.19,0.95,5,193,3,0,0,0,product_mng,medium,2
4115,JOBE,0.83,0.88,5,171,3,1,0,0,IT,medium,2
4117,IGLESIAS,0.44,0.74,4,250,6,0,0,0,RandD,medium,2
4122,EAGLE,0.86,1.0,3,192,3,0,0,0,marketing,high,3
4124,TROY,0.61,0.97,3,199,3,1,0,0,accounting,high,3
4125,EDMOND,0.53,0.96,3,181,3,1,0,0,support,high,3
4126,CATO,0.14,0.76,5,260,6,0,0,0,technical,high,3
4127,HENDRICK,0.74,1.0,4,199,4,0,0,0,management,high,3
4133,PULLEY,0.52,0.8,5,234,3,0,0,0,sales,high,3
4134,GINN,1.0,0.97,3,216,3,1,0,0,sales,low,1
4135,CAMARILLO,0.16,0.74,5,205,4,1,0,0,sales,low,1
4136,BIANCHI,0.19,0.83,3,225,4,0,0,0,sales,low,1
4137,TRUE,0.94,0.87,3,229,3,0,0,0,sales,low,1
4140,KINGSLEY,0.65,0.8,4,164,4,0,0,0,sales,low,1
4141,LOFTUS,0.74,0.74,5,175,3,0,0,0,sales,low,1
4143,SIFUENTES,1.0,1.0,5,142,4,0,0,0,sales,low,1
4144,SILER,0.81,0.96,4,212,3,0,0,0,sales,low,1
4146,KWAN,0.18,0.81,5,140,4,0,0,0,sales,low,1
4150,FORT,0.77,0.76,2,216,3,1,0,0,accounting,medium,2
4153,MOEN,0.78,0.72,4,219,3,0,0,0,hr,medium,2
4157,LISTER,0.9,0.99,3,259,3,1,0,0,technical,medium,2
4158,LUNDBERG,0.73,0.71,5,215,6,1,0,0,technical,medium,2
4160,CORNISH,0.68,0.91,4,162,3,1,0,0,technical,medium,2
4161,WHITLOW,0.9,0.74,3,260,4,0,0,0,technical,high,3
4163,GRIEGO,0.63,0.9,2,242,3,1,0,0,technical,high,3
4164,ROBSON,0.87,0.89,4,219,4,0,0,0,technical,high,3
4166,BALLINGER,0.7,0.74,3,157,3,0,0,0,technical,high,3
4167,FOGARTY,0.15,0.94,5,244,6,0,0,0,technical,high,3
4168,ATCHISON,0.45,0.75,3,122,3,0,0,0,support,high,3
4169,ALLMAN,0.43,0.9,5,282,5,0,0,0,support,low,1
4174,KRUG,0.48,0.71,2,140,3,1,0,0,support,low,1
4176,NARVAEZ,0.53,0.86,3,150,3,0,0,0,support,low,1
4177,FAIN,0.45,0.88,5,268,3,1,0,0,support,medium,2
4181,OLMSTEAD,0.19,0.93,3,110,4,0,0,0,technical,medium,2
4182,BEELER,0.74,0.91,5,135,3,0,0,0,management,medium,2
4185,POLAND,0.95,0.72,3,168,5,0,0,0,IT,medium,2
4187,RHEA,0.24,0.74,5,282,3,0,0,0,IT,medium,2
4193,GEYER,0.81,0.9,4,165,3,0,0,0,RandD,medium,2
4194,BLACKWOOD,0.59,0.9,3,146,3,0,0,0,RandD,medium,2
4195,LECLAIR,0.73,0.82,3,133,3,0,0,0,RandD,medium,2
4198,BUCKINGHAM,0.96,0.78,2,284,3,0,0,0,RandD,medium,2
4208,MERTZ,0.96,0.84,4,272,4,1,0,0,sales,medium,2
4211,PRENTICE,0.61,0.9,5,113,3,0,0,0,sales,medium,2
4213,SEILER,0.24,0.77,5,178,5,0,0,0,sales,low,1
4216,WINFIELD,0.25,0.82,3,269,5,0,0,0,sales,low,1
4219,CHESTNUT,0.87,0.82,4,251,3,0,0,0,sales,high,3
4221,GUARDADO,0.71,0.99,4,238,4,1,0,0,sales,high,3
4228,DEANGELIS,0.53,0.88,3,150,3,1,0,0,accounting,high,3
4229,FERRARI,0.74,0.94,3,132,3,0,0,0,accounting,medium,2
4230,ETHRIDGE,0.77,0.79,3,200,4,0,0,0,hr,medium,2
4231,MILBURN,0.13,0.72,4,148,5,0,0,0,hr,medium,2
4232,MERCIER,0.82,0.92,3,187,3,1,0,0,hr,medium,2
4245,WOJCIK,0.91,0.97,4,183,3,0,0,0,support,low,1
4246,ALCORN,0.74,0.92,5,255,3,0,0,0,support,low,1
4247,BASILE,0.86,0.82,4,252,4,0,0,0,support,low,1
4250,ARMOUR,0.65,0.98,3,136,3,0,0,0,support,low,1
4255,ESTEVEZ,0.76,0.95,2,156,4,0,0,0,support,high,3
4257,TRAVERS,0.85,0.86,4,250,3,0,0,0,technical,low,1
4258,HOULE,0.78,0.8,4,197,3,1,0,0,technical,low,1
4259,CHA,0.55,0.72,3,149,3,0,0,0,management,low,1
4267,STEPHAN,0.64,0.89,3,175,3,1,0,0,product_mng,high,3
4268,OCASIO,0.96,0.9,3,161,3,0,0,0,product_mng,medium,2
4269,DELUNA,0.21,0.72,3,245,6,0,0,0,IT,high,3
4271,PICARD,0.52,0.86,5,168,3,0,0,0,RandD,medium,2
4272,EAVES,0.54,0.81,5,261,6,0,0,0,RandD,medium,2
4273,TOSCANO,0.56,0.81,5,274,4,0,0,0,RandD,medium,2
4274,RUVALCABA,0.59,0.79,4,181,3,0,0,0,RandD,medium,2
4276,AULT,0.7,0.84,4,184,3,0,0,0,sales,medium,2
4280,MOREHEAD,0.82,0.92,5,252,3,0,0,0,management,medium,2
4281,ECK,0.55,0.97,4,136,3,0,0,0,marketing,medium,2
4283,HERRIN,0.66,0.94,4,190,3,0,0,0,marketing,medium,2
4288,YAMAMOTO,0.53,0.72,3,228,3,0,0,0,sales,medium,2
4290,CLANTON,0.95,0.78,4,245,3,0,0,0,sales,low,1
4292,STUTZMAN,0.5,0.97,4,269,3,0,0,0,sales,low,1
4294,HARRELSON,0.52,0.85,3,250,4,0,0,0,sales,low,1
4297,GUYTON,0.78,0.98,5,252,3,0,0,0,sales,high,3
4298,VEAL,0.91,0.71,2,159,3,1,0,0,sales,low,1
4300,VANWINKLE,0.69,0.97,5,105,4,0,0,0,sales,low,1
4304,THOMSEN,0.95,0.75,3,253,4,0,0,0,accounting,low,1
4307,BADGER,0.61,0.98,3,138,5,1,0,0,hr,medium,2
4308,TEEL,0.7,0.87,5,239,3,0,0,0,hr,medium,2
4310,DVORAK,0.6,0.78,4,152,3,1,0,0,technical,medium,2
4314,MONAGHAN,0.36,0.94,3,113,5,1,0,0,technical,medium,2
4315,SEGAL,0.59,0.93,4,146,3,0,0,0,technical,medium,2
4317,SERRATO,0.53,0.99,3,188,3,0,0,0,technical,high,3
4319,TOOMEY,0.51,0.95,4,201,3,0,0,0,technical,medium,2
4322,SPERRY,0.95,0.81,4,263,3,0,0,0,support,medium,2
4323,RESENDIZ,0.13,0.76,5,217,3,0,0,0,support,low,1
4325,BOGAN,0.93,0.76,3,244,3,0,0,0,support,low,1
4328,SCHRAMM,0.89,0.79,4,212,3,0,0,0,support,low,1
4331,LILLEY,0.96,0.9,4,246,3,0,0,0,support,low,1
4332,POLING,0.98,0.76,4,221,3,1,0,0,technical,low,1
4334,CONDE,0.72,0.72,4,175,4,0,0,0,technical,low,1
4339,LAVENDER,0.73,0.85,5,224,4,0,0,0,IT,low,1
4346,RAMSAY,0.53,0.75,2,123,4,0,0,0,RandD,medium,2
4348,SLEDGE,0.78,0.92,5,242,4,0,0,0,RandD,medium,2
4349,WHITED,0.52,0.74,3,238,3,0,0,0,RandD,medium,2
4351,FORTIER,0.83,0.8,4,158,4,0,0,0,marketing,medium,2
4358,FLORA,0.85,0.81,4,189,4,0,0,0,marketing,medium,2
4361,BLUNT,0.72,0.8,3,158,3,0,0,0,sales,medium,2
4362,MINNICK,0.76,0.98,4,173,3,1,0,0,sales,low,1
4363,FONTANA,0.85,0.72,3,201,3,0,0,0,sales,low,1
4365,RAYNOR,0.6,0.93,5,270,3,1,0,0,sales,low,1
4368,VALLADARES,0.7,0.92,3,162,3,1,0,0,sales,low,1
4370,GRACIA,0.9,0.77,4,236,3,0,0,0,sales,low,1
4371,ROHRER,0.18,0.84,4,231,5,0,0,0,sales,low,1
4384,DEGUZMAN,0.48,0.77,3,197,3,0,0,0,hr,medium,2
4385,MCFALL,0.69,0.75,4,261,3,0,0,0,hr,medium,2
4387,ASHE,0.65,0.92,3,219,3,0,0,0,technical,medium,2
4388,MAURO,0.81,0.96,4,143,3,1,0,0,technical,medium,2
4389,MERINO,0.85,0.95,4,171,3,0,0,0,technical,medium,2
4391,TABER,0.72,0.94,4,235,3,0,0,0,technical,medium,2
4395,MORRILL,0.92,0.78,5,193,4,0,0,0,technical,high,3
4399,STEGALL,0.72,0.87,4,184,4,0,0,0,support,medium,2
4400,REUTER,0.8,0.73,5,135,3,0,0,0,support,medium,2
4401,CLEMENTE,0.6,0.72,4,267,4,0,0,0,support,low,1
4405,TALLMAN,0.97,0.75,5,235,3,1,0,0,support,low,1
4410,CLOUTIER,0.83,0.85,4,261,3,0,0,0,technical,low,1
4412,MCCURRY,0.55,0.93,4,239,4,0,0,0,management,low,1
4414,HEFLIN,0.62,0.71,3,177,3,1,0,0,IT,low,1
4420,EVERSON,0.77,0.78,4,212,3,0,0,0,product_mng,low,1
4421,MCEWEN,0.59,0.98,4,198,3,0,0,0,product_mng,low,1
4422,HALSEY,0.8,0.79,5,240,4,0,0,0,IT,medium,2
4424,YAGER,0.88,0.71,4,250,3,0,0,0,RandD,medium,2
4425,BUCHER,0.37,0.9,3,229,6,0,0,0,RandD,medium,2
4433,MCINNIS,0.54,0.81,5,195,4,0,0,0,management,medium,2
4437,DONLEY,0.98,0.84,4,182,3,0,0,0,sales,medium,2
4444,BROGAN,1.0,0.95,3,193,6,0,0,0,sales,low,1
4447,BAPTISTE,0.71,0.92,4,248,3,1,0,0,sales,low,1
4448,GORSKI,0.97,0.74,3,104,5,0,0,0,sales,low,1
4449,REY,0.75,0.86,6,148,4,0,0,0,sales,low,1
4450,HAZEN,0.68,1.0,3,148,4,1,0,0,sales,low,1
4453,BOLING,0.41,0.86,6,215,5,0,0,0,sales,low,1
4455,LEMIEUX,0.68,1.0,6,258,5,0,0,0,sales,low,1
4457,DONG,0.6,0.84,2,221,3,0,0,0,accounting,low,1
4458,LANGLOIS,0.66,0.97,3,263,3,0,0,0,accounting,medium,2
4459,BURROW,0.69,0.82,4,273,4,0,0,0,hr,medium,2
4468,HILDRETH,0.96,0.85,4,200,4,0,0,0,technical,medium,2
4469,WARFIELD,0.68,0.76,3,190,3,1,0,0,technical,medium,2
4473,RUDY,0.28,0.83,5,279,4,0,0,0,technical,medium,2
4477,AMBRIZ,0.83,0.9,3,195,3,0,0,0,support,low,1
4478,CHIANG,0.79,0.86,3,139,3,0,0,0,support,low,1
4479,POMEROY,0.54,0.86,4,205,5,0,0,0,support,low,1
4483,MIGUEL,0.73,0.74,5,230,3,0,0,0,support,low,1
4486,BUNKER,0.76,0.79,3,161,3,0,0,0,technical,low,1
4487,MCMICHAEL,0.29,0.77,3,152,3,1,0,0,technical,low,1
4488,KRESS,0.62,0.97,4,266,3,0,0,0,management,low,1
4489,WHITEHURST,0.5,0.85,2,143,3,0,0,0,IT,low,1
4491,FAZIO,0.18,0.99,4,204,6,0,0,0,IT,low,1
4494,WALLEN,0.68,0.85,3,199,3,0,0,0,product_mng,low,1
4495,TURNEY,0.89,0.78,4,223,3,0,0,0,product_mng,low,1
4499,BATTLES,0.94,0.8,5,111,4,0,0,1,RandD,medium,2
4500,BERLIN,0.58,0.71,4,145,3,1,0,1,RandD,medium,2
4503,LUCKETT,0.95,0.96,5,175,3,1,0,1,RandD,medium,2
4505,SHERRY,0.77,0.79,3,157,3,0,0,1,sales,medium,2
4512,HAZEL,0.54,0.92,4,228,3,0,0,1,marketing,medium,2
4513,SPELLMAN,0.21,0.87,4,148,5,0,0,0,sales,medium,2
4515,DESMOND,0.53,0.73,4,147,3,0,0,0,sales,low,1
4521,HARWELL,0.54,0.76,3,199,4,0,0,0,sales,low,1
4523,SPOONER,0.69,0.8,5,215,3,0,0,0,sales,low,1
4531,KNUDSON,0.93,0.96,5,135,3,1,0,0,sales,low,1
4534,KLING,0.7,0.84,6,225,6,0,0,0,accounting,low,1
4537,MARKLEY,0.67,0.78,4,241,4,0,0,1,hr,medium,2
4540,SPIRES,0.54,0.85,4,157,3,0,0,1,technical,medium,2
4541,CUSHMAN,0.74,0.94,3,286,6,0,0,1,technical,medium,2
4545,JAMIESON,0.82,0.89,4,196,3,0,0,1,technical,medium,2
4546,HORNSBY,0.71,0.79,4,133,3,0,0,1,technical,medium,2
4549,KREMER,0.9,0.78,5,215,3,0,0,1,technical,low,1
4550,THORNBURG,0.65,0.8,6,233,3,1,0,1,support,medium,2
4552,GARRIS,0.51,0.91,4,269,5,0,0,1,support,medium,2
4553,JORGENSON,1.0,0.76,6,246,3,1,0,1,support,medium,2
4554,MOORMAN,0.92,0.82,4,168,3,0,0,1,support,low,1
4559,JACKMAN,0.59,0.72,4,264,3,0,0,0,support,low,1
4562,MOSBY,0.57,0.76,3,195,3,0,0,0,technical,medium,2
4563,BRISTOW,0.87,0.95,4,251,3,0,0,0,technical,medium,2
4566,FREUND,0.32,0.77,6,112,4,0,0,0,IT,medium,2
4567,CREIGHTON,0.66,0.81,2,201,3,0,0,0,IT,medium,2
4568,SMOTHERS,0.53,0.8,4,204,3,0,0,0,IT,medium,2
4570,LUNDGREN,0.66,0.9,3,217,4,0,0,0,product_mng,medium,2
4572,DONATO,0.67,0.99,5,237,3,0,0,0,product_mng,medium,2
4578,WICKHAM,0.34,0.92,3,206,3,0,0,0,RandD,medium,2
4579,CUPP,0.67,0.74,3,204,3,0,0,0,RandD,medium,2
4580,DESTEFANO,0.78,0.98,4,157,3,0,0,0,marketing,medium,2
4583,VOIGT,0.79,0.92,3,204,3,0,0,0,support,medium,2
4585,SAXON,0.74,0.76,3,244,3,0,0,0,management,medium,2
4586,CEDILLO,0.77,0.97,3,184,3,1,0,0,marketing,medium,2
4587,MATTISON,0.49,0.71,2,117,3,0,0,0,marketing,high,3
4588,SPEED,0.94,0.89,3,230,3,1,0,0,marketing,high,3
4590,,0.69,0.84,3,227,3,1,0,0,sales,high,3
4592,WESTPHAL,0.89,0.9,3,240,3,0,0,0,sales,high,3
4594,BUSSEY,0.22,0.89,4,262,4,0,0,0,sales,high,3
4601,LAROSE,0.2,0.96,2,249,3,0,0,0,sales,low,1
4608,PETTIS,0.88,0.84,3,266,3,0,0,0,accounting,low,1
4609,MOYE,0.98,0.79,4,138,3,0,0,0,accounting,low,1
4610,KOESTER,0.89,0.98,3,220,3,0,0,0,accounting,low,1
4618,PIPPIN,0.75,0.75,2,141,4,0,0,0,technical,medium,2
4623,CEDENO,0.39,0.99,6,235,6,0,0,0,technical,medium,2
4624,MCDOUGAL,0.54,0.81,4,264,4,0,0,0,technical,medium,2
4626,SACCO,0.49,0.79,4,158,3,0,0,0,support,high,3
4627,HAILEY,0.17,0.83,6,195,5,0,0,0,support,high,3
4629,ROHDE,0.9,1.0,2,114,5,0,0,0,support,high,3
4630,POINTER,0.24,0.89,5,228,4,1,0,0,support,high,3
4631,PANIAGUA,0.92,0.79,5,243,3,1,0,0,support,high,3
4632,HOLLOMAN,0.36,0.72,3,179,3,0,0,0,support,high,3
4633,STROTHER,0.19,0.76,2,158,3,0,0,0,support,high,3
4634,GUFFEY,0.75,0.76,4,254,4,0,0,0,support,low,1
4635,FENNER,0.91,0.81,3,220,3,1,0,0,support,low,1
4636,SHANE,0.72,0.95,5,171,3,0,0,0,support,low,1
4643,OLMOS,0.73,0.98,4,160,3,0,0,0,IT,medium,2
4644,CHRIST,0.71,0.79,3,189,3,0,0,0,IT,medium,2
4646,OSTROWSKI,0.8,0.94,4,141,3,1,0,0,product_mng,medium,2
4651,RICHIE,0.99,0.96,4,202,3,0,0,0,RandD,medium,2
4654,STAMPS,0.75,0.78,4,158,5,1,0,0,RandD,medium,2
4659,WALZ,0.82,0.97,5,235,3,0,0,0,support,medium,2
4665,RIGSBY,0.63,0.93,3,236,4,0,0,0,sales,high,3
4668,RANDAZZO,0.53,0.9,3,210,3,0,0,0,sales,medium,2
4672,TARR,0.58,0.72,4,259,3,0,0,0,sales,medium,2
4673,SHADE,0.98,0.88,5,203,5,1,0,0,sales,medium,2
4674,UPSHAW,0.74,0.76,5,255,4,0,0,0,sales,medium,2
4681,CHOE,0.65,0.89,4,240,3,0,0,0,sales,low,1
4684,SAUL,0.65,0.84,4,247,4,0,0,0,accounting,high,3
4686,BOBBITT,0.62,0.77,4,256,3,0,0,0,accounting,high,3
4690,TIBBS,0.53,0.76,2,204,4,0,0,0,hr,high,3
4692,MCDANIELS,0.48,0.81,5,113,3,0,0,0,technical,medium,2
4694,BICKEL,0.76,0.72,3,242,5,1,0,0,technical,medium,2
4698,BOSLEY,0.16,0.78,4,280,6,0,0,0,technical,high,3
4700,FARBER,0.73,0.95,4,243,3,0,0,0,technical,medium,2
4703,ALMOND,0.85,0.86,3,231,3,0,0,0,support,medium,2
4706,KOSS,0.83,0.87,3,156,3,0,0,0,support,medium,2
4708,FALCONE,0.81,0.97,3,247,3,0,0,0,support,medium,2
4709,RAINWATER,0.56,0.92,5,222,4,0,0,0,support,medium,2
4710,NATION,0.77,0.83,3,160,3,0,0,0,support,low,1
4714,TROWBRIDGE,0.79,0.89,3,104,4,0,0,0,technical,low,1
4716,LUNDQUIST,0.8,0.79,4,168,3,0,0,0,management,low,1
4718,FERRO,0.92,0.9,4,249,3,0,0,0,IT,low,1
4720,BOWLIN,0.56,0.85,3,225,3,0,0,0,IT,high,3
4725,SATO,0.82,0.75,5,160,3,1,0,0,product_mng,high,3
4727,CORWIN,0.76,0.96,4,135,3,1,0,1,RandD,low,1
4729,SALYER,0.6,0.9,4,178,3,0,0,1,RandD,high,3
4730,WALLING,0.69,0.9,6,224,4,0,0,1,RandD,low,1
4736,LUIS,0.83,0.91,3,168,3,0,0,1,technical,medium,2
4738,MOLL,0.68,0.99,3,263,3,1,0,1,marketing,medium,2
4740,LUSTER,0.75,0.95,3,253,3,0,0,0,marketing,medium,2
4748,KEISER,0.92,0.99,5,236,4,0,0,0,sales,medium,2
4749,HOAG,0.71,0.98,5,213,3,0,0,0,sales,medium,2
4751,BACKUS,0.14,0.83,5,153,5,1,0,0,sales,medium,2
4753,PALM,1.0,0.84,3,154,3,0,0,0,sales,medium,2
4754,BRUMLEY,0.77,0.82,3,147,4,0,0,0,sales,high,3
4756,BOYNTON,0.88,0.95,3,137,3,0,0,0,sales,low,1
4757,KRAUSS,0.85,0.84,5,179,3,0,0,0,sales,low,1
4762,WOOLSEY,0.84,0.83,3,215,3,0,0,0,accounting,high,3
4764,RICHMAN,0.89,0.75,3,134,3,0,0,0,hr,low,1
4766,PARTIDA,0.88,0.83,4,163,3,0,0,0,hr,low,1
4768,GRISHAM,0.93,0.96,3,268,4,0,0,0,technical,low,1
4772,SPRIGGS,0.58,0.98,3,146,3,0,0,0,technical,medium,2
4775,RUTKOWSKI,1.0,0.8,5,162,3,1,0,0,technical,medium,2
4778,GASKIN,0.63,0.9,3,142,3,0,0,0,support,medium,2
4780,UNDERHILL,0.88,0.77,4,168,4,0,0,0,support,medium,2
